Christian,Release year
The First Omen,2024
The Masked Saint,2016
Bob Marley: One Love,2024
Ordinary Angels,2024
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
The Omen,1976
Hacksaw Ridge,2016
Captive,2015
The Nun II,2023
Exodus: Gods and Kings,2014
Sound of Freedom,2023
The Passion of the Christ,2004
The Nun,2018
The Pope's Exorcist,2023
The Ten Commandments,1956
The Omen,2006
Ben-Hur,1959
Silence,2016
Beauty and the Beast: The Enchanted Christmas,1997
The Shack,2017
Kingdom of Heaven,2005
The Whale,2022
Ready or Not,2019
Constantine,2005
The Exorcist,1973
Angel Heart,1987
The Patriot,2000
Immaculate,2024
The Nightmare Before Christmas,1993
Three Thousand Years of Longing,2022
"South Park: Bigger, Longer & Uncut",1999
Daredevil,2003
The Grinch,2018
The Blues Brothers,1980
Miracles from Heaven,2016
The Hunchback of Notre Dame,1996
The Prince of Egypt,1998
The Chronicles of Narnia: Prince Caspian,2008
Joseph: King of Dreams,2000
The Greatest Story Ever Told,1965
The Devil's Advocate,1997
The Blind Side,2009
Violent Night,2022
The Da Vinci Code,2006
Rise of the Guardians,2012
Ghost Rider,2007
The Remaining,2014
Bruce Almighty,2003
Angels & Demons,2009
How the Grinch Stole Christmas,2000
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010
Prey for the Devil,2022
The Exorcism of God,2022
Left Behind,2014
Noah,2014
Omen IV: The Awakening,1991
Ghost Rider: Spirit of Vengeance,2011
Redeeming Love,2022
Merry Little Batman,2023
Casper's Haunted Christmas,2000
The Unholy,2021
Scrooge,1970
Little Women,2019
The Sound of Music,1965
The Ultimate Gift,2007
Jesus,1979
The Polar Express,2004
The Final Conflict,1981
Unstoppable,2010
Risen,2016
Heaven Is for Real,2014
Fireproof,2008
Olaf's Frozen Adventure,2017
The Golden Compass,2007
The Book of Life,2014
Assassin's Creed,2016
Facing the Giants,2006
Robin Hood,2018
The Book of Daniel,2013
Spotlight,2015
The Exorcism of Emily Rose,2005
A Christmas Carol,2009
War Room,2015
Spirited,2022
Hop,2011
Bedazzled,2000
The Fugitive,1993
Sex Drive,2008
Woodlawn,2015
A Beautiful Day in the Neighborhood,2019
Breakthrough,2019
Father Stu,2022
Mary Magdalene,2018
Nefarious,2023
Klaus,2019
Sister Act 2: Back in the Habit,1993
Krampus,2015
"Paul, Apostle of Christ",2018
The Rite,2011
Home Alone 4,2002
Home Alone: The Holiday Heist,2012
Elf,2003
Son of God,2014
The Fog,1980
All Hallows' Eve,2013
Overcomer,2019
Fantasia,1940
Machine Gun Preacher,2011
Kingpin,1996
The Last Temptation of Christ,1988
Ben-Hur,2016
Little Nicky,2000
The Amityville Horror,2005
The Others,2001
King of Kings,1961
I Can Only Imagine,2018
Jingle All the Way,1996
The Wonder,2022
Courageous,2011
Once Upon a Snowman,2020
I Still Believe,2020
On a Wing and a Prayer,2023
This Is the End,2013
Sister Act,1992
Big George Foreman,2023
Rosemary's Baby,1968
Luther,2003
Leprechaun 2,1994
The Fountain,2006
The Boondock Saints,1999
The Starling Girl,2023
Johnny English,2003
Jesus Christ Superstar,1973
End of Days,1999
Justice League vs. Teen Titans,2016
Samson,2018
The Devil All the Time,2020
Tenacious D in The Pick of Destiny,2006
Birth,2004
Teen Titans Go! vs. Teen Titans,2019
Prince of Darkness,1987
The Christmas Chronicles,2018
2 Hearts,2020
Fred Claus,2007
The Fog,2005
Soul Surfer,2011
Mickey's Christmas Carol,1983
Camp Hideout,2023
The Three Stooges,2012
"Yes, God, Yes",2020
Boy Erased,2018
Christmas with the Kranks,2004
Mickey's Twice Upon a Christmas,2004
Little Women,1994
The Nativity Story,2006
The Seventh Sign,1988
The Santa Clause,1994
Miracle on 34th Street,1947
Arthur Christmas,2011
Witness,1985
Bill & Ted's Bogus Journey,1991
Miracle on 34th Street,1994
The Amityville Horror,1979
Mermaids,1990
Unbroken: Path to Redemption,2018
The Tree of Life,2011
Elizabeth: The Golden Age,2007
Brazil,1985
East of Eden,1955
Paranormal Activity: Next of Kin,2021
First Reformed,2018
I'm Not Ashamed,2016
Gandhi,1982
Jack Frost,1998
Deliver Us from Evil,2014
Dogma,1999
Leviathan,1989
The Snowman,2017
The Book of Esther,2013
The Santa Clause 3: The Escape Clause,2006
Amityville II: The Possession,1982
God's Not Dead 2,2016
Scrooged,1988
Dead Man Walking,1995
A Very Harold & Kumar Christmas,2011
Amazing Grace,2006
The Young Messiah,2016
Blues Brothers 2000,1998
Cabrini,2024
Do You Believe?,2015
Chocolat,2000
Tom and Jerry: Snowman's Land,2022
A Charlie Brown Christmas,1965
God's Not Dead: A Light in Darkness,2018
The Mission,1986
Mean Streets,1973
Harriet,2019
The Little Hours,2017
A Man for All Seasons,1966
The Pilgrim's Progress,2019
Ghosts of Girlfriends Past,2009
The Star,2017
Chariots of Fire,1981
God's Not Dead,2014
The Search for Santa Paws,2010
Mickey's Magical Christmas: Snowed in at the House of Mouse,2001
Bad Lieutenant,1992
Bad Santa,2003
Ladder 49,2004
90 Minutes in Heaven,2015
The Imaginarium of Doctor Parnassus,2009
"Oh, God!",1977
The Santa Clause 2,2002
A Charlie Brown Thanksgiving,1973
The Night Before,2015
The Case for Christ,2017
40 Days and 40 Nights,2002
Jingle Jangle: A Christmas Journey,2020
A Christmas Carol,1984
Quills,2000
American Underdog,2021
Dante's Inferno: An Animated Epic,2010
Knick Knack,1989
A Hidden Life,2019
Dashing Through the Snow,2023
Novitiate,2017
The Lords of Salem,2013
The Lodge,2020
I'm in Love with a Church Girl,2013
Exorcist: The Beginning,2004
Becket,1964
A Boy Called Christmas,2021
"Alice, Sweet Alice",1976
Black Robe,1991
Wendell & Wild,2022
Jesus Revolution,2023
The Devils,1971
Elizabeth,1998
Goya's Ghosts,2006
The Naughty Nine,2023
Saint Maud,2020
The Muppet Christmas Carol,1992
